¿Cómo se llama el lenguaje xml de intercambio de información entre herramientas CASE?,XMI (https://en.wikipedia.org/wiki/XML_Metadata_Interchange)
¿Cuales son los elementos fundamentales del fichero pom.xml de la herramienta Maven?,Campos que indican el tipo de proyecto (jar. war o ear). las coordenadas del proyecto (artifactId.groupID y version) y las dependencias de librerias de terceros
¿En que consiste el Sprint Backlog dentro de la metodologia SCRUM?,Subconjunto de requisitos del Product Backlog que vamos a implementar en esa iteracion
¿Cual es el proposito de kubernetes dentro de una infraestructura de virtualización ligera?,Gestión de contenedores en un entorno de cluster La unidad minima de gestión es el Pod. que representa a 1 o varios contenedores con IP propia
¿En que consiste la aplicación de 2FA?,Metodo de autenticacion que consiste en utilizar 2 metodos de estas 3 categorias: * Algo que se (PIN. Password. etc) * Algo que tengo (Dongle.tarjeta claves. etc) * Algo que soy (Huella. etc)
¿Qué tipo de información se almacena en el fichero /etc/apt/sources.list?,Las url's con los catalogos de paquetes para esa version de Linux que tengamos instalada
¿Dondé se puede definir un valor de nice por defecto para un usuario?,/etc/security/limits.conf
¿Qué son y cual es el propósito de los jumboframes?,Son tramas ethernet de hasta 9000bytes de payload y sirven para incrementar el rendimiento o trafico (ej: tipico con sistemas de almacanamiento)
En el contexto del protocolo IP. ¿en que consiste APIPA?,Dirección generada automaticamente por el host cuando no hay comunicacion con el DHCP (169.254.1.0 a 169.254.254.255)
¿Cual es el objetivo del registro AAAA en el servicio de DNS?,Asociar un nombre con una dirección IPv6
¿Qué metodos fundamentales tiene la clase Object en Java?,* equals() --> metodo de comparación de objetos (es bueno sobreescribir con la logica de igual de nuestras clases) * toString() --> metodo que proporciona una representacion en forma de cadena de nuestros objetos (bueno sobreescribirlo tambien) * wait() --> para poder bloquear temporalmente hilos * notifiy() --> para despertar del bloqueo a los hilos * getClass() --> Nos da un objeto de tipo Class que obtener dinamicamente todos los metadatos de un objeto * clone() --> copia de objetos * hashCode() --> nos da un codigo hash del objeto * finalize() --> metodo que hay que sobreescribir y que será invocado por el recolector de basura cuando elimine el objeto
En el contexto de los ficheros. ¿qué es el Magic Number?,Unos primeros bytes que identifican el tipo de fichero que es (pdf. zip. jpg. ...)
Sistemas de identificacicón de los interesados en el procedimiento según la ley 39/2015,a) Sistemas basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. b) Sistemas basados en certificados electrónicos cualificados de sello electrónico expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. c) Sistemas de clave concertada y cualquier otro sistema. que las Administraciones consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad
¿En que consiste la configuración stateless en IPv6?,De los 128bits de la dirección IPv6... a) los 64bits menos significativos se generan con el algoritmo EUI-64 modificado o random b) los 64bits mas significativos se generan a partir de los mensajes ICMPv6 - RA que lanza el router
¿Cuales son los canales de notificación disponibles a traves del servicio compartido Notific@?,a) Carpeta Ciudadana b) DEH / DEHu c) Envio postal d) Sede electrónica propia
¿En que consiste la norma NTI SICRES 3.0?,Norma técnica que define el formato de intercambio de asientos registrales
¿Con que API podemos desarrollar en Java un API Rest?,Con JAX-RS. Algunas anotaciones importantes son: @Path. @GET.@POST.@PUT.@DELETE.@PathParam.@QueryParam.@Produces.@Consumes....
¿Cual es la utilidad del cmdlet Where-Object?,Es un cmd-let que utiliza como entrada los objetos .net de otro cmd-let para realizar filtrados por alguna(s) de sus propiedades
¿Para que sirve el estandar RDF y que relación tiene con SPARQL?,a) RDF es un formato de la w3c que representa en forma de tripletas (sujeto-predicado-objeto) relaciones semanticas entre los datos b) SPARQL es un lenguaje estandar de la w3c para realizar consultas sobre estas tripletas RDF
Explique brevemente la utilidad del patrón Proxy,Su utilidad principal es interceptar en una clase que añadimos al modelo (Proxy) las llamadas que de una forma "tradicional" se harían sobre una clase directamente. El objetivo es separar en esta clase Proxy ciertas responsabilidades (codigo) que no queremos introducir en la clase de negocio a "proteger" por no mezclarlo todo
En UML. ¿cual es el uso de los estereotipos?,Es un mecanismo de extensión de UML con el que podemos añadir semantica a ciertos elementos (relaciones. paquetes. clases. componentes. ...)
En Linux. ¿cual es la utilidad del sticky bit y como se activa?,Proteger a un fichero/directorio de su borrado frente a usuarios que no sean el propietario o root (ej. /tmp)
Interfaces principales del API JDBC,Del paquete java.sql * DriverManager (Clase que colabora con los Driver's instalados para darnos una conexion en funcion de una url) * Driver (Interface que tienen que implementar los fabricantes y especifica el metodo para conectar con la BBDD) * Connection (Interface que representa a la propia conexion en si y que nos permite crear sentencias) * Statement / PreparedStatement / CallableStatement (Interfaces para lanzar sentecias SQL y llamadas a procedures almacenados) * ResultSet (Interface que representa un objeto con los resultados de una query. Similar al concepto de cursor) Del paquete javax.sql * Datasource (Interface que representa a un pool o conjunto finito de conexiones que se puede solicitar)
Caracteristicas principales del estandar 802.11ax,a) Bandas de 2.4Ghz y 5Ghz b) Mejora en MU-MIMO (hasta 8 streams en paralelo) c) Alias WiFi6 d) Modulacion QAM 1024 (envio de 10 bits en cada transmisión) e) OFDMA o Acceso Múltiple por División de Frecuencia Ortogonal (división del espectro en 256 subcanales) f) Hasta 10Gbps g) La tecnologí­a Target Wake Time (TWT) mejora la duración de la baterí­a de smartphones h) Color BSS (evitar interferencias) https://naseros.com/2018/11/16/802-11ax-wifi-6-el-wifi-que-llegara-el-ano-que-viene/
¿De que forma(s) podemos transformar una relacion de generalización E/R en el modelo Relacional?,a) 1 sola tabla para todo (incluir atributo discriminador para saber el tipo de entidad) b) 1 tabla para el supertipo y una para cada subtipo (con referencia a la del supertipo) c) 1 tabla para cada subtipo (los atributos del supertipo estarán en todas ellas)
¿En que consiste el sistema SAT del CCN y que tipos hay?,Son unos sistemas que detectan incidentes/anomalias cuanto antes y avisan al CCN para que actue. Tenemos tres tipos: * SAT-ICS (para entornos industriales) * SAT-INET (se configura en tu DMZ) * SAT-SARA
¿Cual es el uso principal de la herramienta INES?,Introducir información de evaluación/auditoria sobre el estado de seguridad de tu sistema (segun el ENS)
¿Qué son los landmarks según la norma WAI-ARIA?,Son regiones/zonas de la pagina que se definen mediante roles (valores tipicos son main.navigation.search....)
¿Qué representa HEAD dentro de un repositorio Git?,Es un puntero hacia el ultimo commit (pero hay comandos que lo podrian desplazar por la historia)
En el contexto del protocolo TCP. ¿qué representa el MSS?,Es el tamaño maximo de segmento que se puede manejar (Este MSS se envía en el proceso 3-Way Handshake mediante la lista de Opciones)
¿Cual es el objetivo de los arboles AVL y como lo consiguen?,La finalidad es mantener el arbol equilibrado. con un factor de equilibrio entre (0.-1 o +1) Lo consiguen mediante rotaciones de los nodos cuando se detecta una posible perdida de equilibrio
¿Qué y para que sirve un numero de sistema autonomo ASN?,Numero que asigna la IANA/RIR a las redes de los distintos ISP y que nos sirve para el enrutamiento externo. es decir. con otros AS (protocol BGP)
Explica cual es la estructura y funcion del patrón de diseño Adapter,Consiste en introducir una clase entre "Cliente" y "Servicio" para que este primero pueda utilizar los metodos que ofrece el segundo de una forma que se ajuste mas a sus necesidades El adapter tiene que implementar un interface de acuerdo a esas necesidades del Cliente pero lo implementará de acuerdo a los metodos que ofrece el Servicio
¿Cuales son los metadatos minimos obligatorios según la NTI del documento electrónico?,Version NTI (URI) Identificador(Normalizado) Organo(DIR3) FechaCaptura(ISO 8601) Origen(0=Ciudadano.1=Administracion) EstadoElaboracion(Original.CopiaElectronicaAutentica....) NombreFormato(segun NTI Catalogo de Estandares) TipoDocumental(Resolucion.Acuerdo.Acta....) TipoFirma(CSV o segun formatos de NTI Politica de firma) -- si TipoFirma=CSV Valor CSV DefinicionGeneracionCSV(Orden o Resolucion que define la generación del CSV) -- si EstadoElaboracion=Copia electronica autentica con cambio de formato o Copia electronica parcial autentica IdentificadorDocumentoOrigen(Normalizado)
¿Cual es y donde se define el ciclo de vida de un Servlet?,Se define en el interface javax.servlet.Servlet mediante los metodos init(config). service(req.res) y destroy()
En .NET. ¿cual es el objetivo del Entity FrameWork?,Es un ORM. quiere decir que nos ofrece la funcionalidad de almacenar y recuperar objetos de una BBDD relacional sin tener que tratar con el SQL directamente
¿Para que nos sirve el comando de Linux iw?,Configuración de interfaces wireless. Algunos usos: a) iw list (lista todos los dispositivos wireless con sus capacidades) b) iw dev wlan0 scan (escaneo de las redes disponibles a traves del interface wlan0) c) iw dev wlan0 link (estado del interface wlan0) d) iw wlan0 connect foo (conectar a la red con SSID "foo" si está abierta)
Comandos mas importantes dentro del fichero Dockerfile,FROM (imagen base a partir de la cual vamos a generar la nuestra) COPY (copiar de ficheros desde el host/local a la imagen) ADD (similar a COPY pero soporta URL's y capacidades para descomprimir) RUN (se ejecuta cuando se está construyendo una imagen. tipico --> apt install ...) CMD (se ejecuta cuando el contenedor se inicia) ENTRYPOINT (establecer un ejecutable cuando arranque el contenedor) VOLUME (configurar volumenes para almacenamiento persistente) EXPOSE (indica puertos de escucha en el contenedor. pero no los publica realmente)
En que consiste el servicio comun de @firma?,Servicios Web con funcionales de firma y de validación de certificados usados por la propia administración
¿Cual es el uso del modificador transient en Java?,Le indica al sistema que ese atributo no se debe persistir/serializar cuando se guarden en disco objetos de esa clase (que tiene que implementar java.io.Serializable)
¿Qué diferencia hay entre un sistema de integración continua y uno de entrega continua?,Integracion Continua solo llega hasta los test y Entrega Continua hasta el despligue
¿Qué diferencia existe entre una plataforma PaaS y IaaS?,IaaS nos ofrece sobre todo recursos de maquina (virtual) y almacenamiento y PaaS nos ofrece plataformas de ejecucion finales (java. php. ...)
¿Qué tipo de productos tienen que ver con la filosifa IaC?,Los productos que se usan para automatizar tareas de sistemas al estilo IaC son: Ansible. Chef. Puppet. Terraform. Salt. etc
¿En que consiste el operador "nave espacial" en PHP?,Es un operador de comparación que devuelve 0.-1 o 1 en funcion de si los dos valores son iguales o uno mayor que el otro
¿En que consiste la solución aportada por la herramienta Pilar?,Es una herramienta que nos da soporte para las fases de analisis y gestión de riesgos (Ej. Magerit)
¿Para que sirve un fichero con extensión VMDK?,Es un formato abierto (lo soportan por ej VMWare y VirtualBox) para la persistencia de una maquina virtual
¿Como se identifica un circuito virtual dentro de ATM?,Mediante los Identificadores VPI/VCI (tiene sentido local)
¿Cual es la utilidad del protocolo NTP?,Sincronizar relojes. Se basa en el protocolo UDP (puerto 123). Y funciona de forma jerarquica (estratos)
¿Para que nos sirve la directiva @page en CSS?,Para poder definir los estilos/formatos de la pagina cuando vamos a imprimirla
¿Qué opciones tenemos para securizar servicios web SOAP?,Con el estandar de OASIS WS-Security podemos cifrar. firmar y autenticar las peticiones SOAP (en el header concretamente)
¿Qué propósito tiene la cabecera del protocolo Http "Cookie"?,Es una cabecera de Request que usa el navegador para enviar todas las Cookies al servidor del dominio correspondiente
¿Cual es el mecanismo de acceso al medio en una red Token Ring?,Mediante el paso de un testigo (solo el que lo tiene puede transmitir)
¿Cual es el gestor de dependencias en PHP?,La herramienta es composer. Comandos importantes: composer init --> genera un composer.json de forma interactiva composer install --> instala dependencias en función del fichero composer.json y crea el composer.lock para que todos usemos las mismas versiones composer update --> actualiza dependencias en función del fichero composer.json y se actualiza tambien el composer.lock composer require your-vendor-name/package-name (utiliza Packagist.org para buscarlo y descargarlo en la carpeta local vendor por defecto)
¿Cuales son los campos en Frame Relay para gestionar las posibles situaciones de congestión?,FECN (notificacion hacia delante) BECN (notificacion hacia atras) DE (bit para poder descartar ese frame si hace falta)
Explique brevemente la utilidad del Patrón Builder,Es un patrón cuyo cometido es la construcción de un objeto muy complejo (con muchas partes) Cada parte es construida por una clase independiente y todos los trozos generados los ensambla otra llamada Director
¿Qué diferencias hay entre el metodo http OPTIONS y HEAD?,OPTIONS /recurso nos devuelve unas cabeceras indicando los metodos http permitidos (allow) sobre ese recurso HEAD /recurso nos devuelve simplemente los encabezados asociados a ese recurso
¿Qué nos ofrece la solución del CCN Marta?,Sandboxing (para analisis de comportamiento malicioso) de ficheros
¿Como se determina la conformidad con el ENS en un sistema de información en función de su categoría?,(al menos cada 2 años) Si el sistema se categoriza como de nivel Basico no es obligatoria la certificación. Es suficiente con una autoevaluacion y una DECLARACION DE CONFORMIDAD Si el sistema se categoriza como de nivel Medio o Alto es obligatoria la Auditoria por una entidad externa que emitirá una CERTIFICACION DE CONFORMIDAD https://www.ccn-cert.cni.es/series-ccn-stic/800-guia-esquema-nacional-de-seguridad/1279-ccn-stic-809-declaracion-de-conformidad-con-el-ens/file.html
¿En que consiste un sello de tiempos cualificado?,Segun eIDAS. un sello cualificado de tiempo electrónico cumplirá los requisitos siguientes: - vincular la fecha y hora con los datos de forma que se elimine razonablemente la posibilidad de modificar los datos sin que se detecte - basarse en una fuente de información temporal vinculada al Tiempo Universal Coordinado. y - haber sido firmada mediante el uso de una firma electrónica avanzada o sellada con un sello electrónico avanzado del prestador cualificado de servicios de confianza o por cualquier método equivalente.
¿Qué información utiliza el protocolo AH en modo transporte para calcular el ICV?,El payload y los campos inmutables de la cabecera IP original
¿Cual es la función de la herramienta Javadoc de la JDK y como se utiliza?,Herramienta de generacion de documentacion HTML a partir del codigo fuente Java. Se basa en unos "comentarios" especiales que comienzan con /** y unos "campos" con la sintaxis @campo (ej: @param. @author. @since. @see. @throws. @return. @deprecated. ...)
¿Qué parametros determinan la velocidad de la memoria RAM?,A parte de la velocidad de reloj a la que puede funcionar (frecuencia) existen unas latencias (tiempo que pasa desde que pedimos un dato hasta que está disponible) - Latencia CAS (seleccion de columna) o CL (parametro que se suele dar como referencia a nivel comercial) - Latencia RAS (seleccion de fila) etc.
¿Qué tipos de productos catalogan las normas WAI como user agent? ¿Que principios de accesibilidad les aplican?,* Navegadores Web * Browser Plugin's(ej: Media players. Readers....) * Word. Dreamweaver https://www.w3.org/TR/UAAG20/#def-user-agent (ver donde pone Note 2) PRINCIPIOS --> Percetible.Operable.Entendible.Acceso por Programacion.Especificaciones
¿Cual es el comando en Linux equivalente al de arp?,ip neigh show
¿Que son CoffeLake. CannonLake. IceLake. CascadeLake. ...?,microarquitecturas (familias) de procesadores Intel
¿En que consiste un algoritmo de BackTracking?,tecnica de diseño de algoritmos en los cuales se explora todo el arbol de posibles soluciones a un problema
Nombre cinco vulnerabilidades de los protocolos SSL/TLS,POODLE.BEAST.CRIME.BREACH.Heartbleed.DROWN.FREAK.Logjam.NOMORE.SWEET32
¿Que son los .net module y que relación tienen con el assembly?,Un assembly contiene un manifiest y uno o varios modules (es donde está el IL y pueden estar escritos en distintos lenguajes). Ejemplo To create a single-module assembly csc.exe /target:exe      /out:Program.exe  Program.cs Class1.cs  --> Program.exe csc.exe /target:library  /out:Program.dll  Program.cs Class1.cs  --> Program.dll To create a multi-module assembly csc.exe /target:module   /out:Program.netmodule  Program.cs           --> Program.netmodule csc.exe /target:module   /out:Module1.netmodule  Class1.cs Class2.cs  --> Module1.netmodule al.exe  /target:exe      /out:Program.exe /main:mma.Program.Main  Program.netmodule Module1.netmodule  --> Program.exe csc = c-sharp compiler al  = assembly linker
¿Cuales son los protocolos que soporta Git?,Local. Http. SSH y Git
Enumere cuatro algoritmos de cifrado simetrico,- 3DES.AES.Serpent.Twofish.Blowfish.Camelia.RC4.Skipjack.Safe.IDEA.Salsa20
¿Qué tipos de firma existen según el reglamento eIDAS?,basica. avanzada y cualificada (unica con la misma validez que la manuscrita) NOTA(«firma electrónica cualificada». una firma electrónica avanzada que se crea mediante un dispositivo cualificado de creación de firmas electrónicas y que se basa en un certificado cualificado de firma electrónica )
En el ambito del Windows Active Directory. ¿que representa el SID?,Es un identificador de seguridad (se usar en las ACL's sobre recursos) de un Security Principal (usuario. grupo. servicio. ...)
Explique brevemente el patrón Composite,Es un patron que nos ofrece una estructura/cadena de contenedores con los cuales podemos crecer dinamicamente tanto en el numero como en el tipo de eslabones de esa cadena Este crecimiento tanto en longitud de la cadena de objetos como en su tipo se debe a la introduccion de tres tipos polimorficos (elemento. compuesto y simple) y una relación recursiva de "compuesto" hacia "elemento"
¿Cual es la utilidad del interface Datasource? ¿Como se utiliza en el contexto de un servidor JEE?,- Proporcionar a las aplicaciones de un pool de conexiones de BBDD - Para poder usarse necesitamos recuperar ese objeto Datasource del arbol JNDI (programaticamente o mediante inyeccion de dependencias)
¿En que consiste la tecnica de inyeccion de dependencias? Ejemplos,En un mecanismo de diseño que consiste en que los objetos que quieren colaborar los enlaza entre si el "sistema" Ejemplos --> Spring (CORE) y JEE (CDI)
En c#. ¿para que nos sirve la palabra reservada sealed?,Para evitar que se puede heredar de esta clase (equivalente a final en Java)
En php. ¿en que consisten los traits?,En un mecanismo de reutilización de metodos distinto al de la herencia
¿Con que protocolo podemos conseguir alta disponibilidad entre routers?,VRRP (Virtual Router Redundancy Protocol)
¿Cuantos host podemos direccionar con una dirección IP de clase D?,No aplica. son direcciones multicast
¿Que zona de la memoria se utiliza cuando se generan objetos en Java?,HEAP (se puede configurar cuando se lanza un proceso java con la jre)
¿Para que se usa el modificador volatile en Java?,Para evitar que cada hilo de ejecución haga copia en su cache de un atributo de un objeto que están compartiendo
¿Cual es el objetivo principal de una VLAN?,Segmentar de forma logica la red. Crea distintos dominios de difusión y le da mayor seguridad al diseño de la LAN
¿Qué es un hipervisor de tipo 1?,Aquellos que funcionan directamente sobre el hardware
¿Qué diferencia existe entre una CPU y una APU?,Que la APU (concepto de AMD) tiene una tarjeta grafica incorporada
En SQL. ¿qué podemos decir del conjunto de resultados despues de aplicar UNION ALL?,Que incluirá las filas repetidas
¿Cual es el objetivo de un producto como Nagios?,Monitorización de red (dispositivos SNMP entre otros)
¿Para que nos sirve el caracter "=" en la codificación Base64?,Para relleno cuando la información no es multiplo exacto al dividir de 6 en 6 bits
¿Qué es el grado en el modelo relacional?,Numero de atributos de la relacion
En el modelo relacional.¿que particularidad tiene una superclave?,Que en ocasiones se puede reducir (eliminar algun atributo) y seguir siendo una clave
En redes inalámbricas. ¿cual es el concepto del MU-MIMO?,Tecnica para permitir transmisiones simultaneas a los clientes (basado en streams.2x2.4x4....)
¿Qué es el estrangulamiento térmico en una CPU?,Mecanismo de protección que hace que el rendimiento de la CPU baje con una excesiva temperatura
¿En que consiste la técnica de overclocking?,En forzar a un regimen de funcionamiento superior a la CPU (es importante un buen mecanismo de refrigeración)
¿En que consiste la NVRAM?,Memoria de acceso aleatorio no volatil (una de ellas mateniente la información de configuración. por ej de la CMOS-RAM de la BIOS. mientras esté alimentada por una bateria/pila)
¿Qué contiene el registro IR de la CPU?,Contiene la instrucción que está actualmente en ejecución o decodificación
¿Cual es el uso del modificador native en Java?,Para indicarle a la JRE que este metodo definido en una clase Java está programado en C/C++ en una libreria externa (que tenemos que indicarle)
¿Con que propiedad se controla el estado del "objeto" XHR de Ajax?,Tenemos tres propiedades dentro del objeto XHR para controlar el estado: - Property onreadystatechange (asignaremos una funcion nuestra para que sea invocada por el motor AJAX) - Property readyState (0 = sin inicializar. 1 = abierto. 2 = cabeceras recibidas. 3 = cargando y 4 = completado) - Property status (codigo http. Nos interesa sobre todo el 200)
Nombre dos tipos de fibra monomodo,OS1(uso en interiores) y OS2 (exteriores). Como caracteristicas principales tenemos: - Nucleo de fibra de 8-10 micrómetros - Distancia --> OS1 --> 2km-10km. OS2 --> 200km - Velocidad --> OS1 --> 1GbE/10GbE. OS2 --> 1GbE/10GbE/40GbE/100GbE (NOTA: se pueden multiplexar varias señales por un canal de fibra con DWDM llegando hasta 40GbE y 100GbE)
¿Que tipo de producto es Ansible y cual es su arquitectura?,Es un producto de automatización o gestión de la configuracion (IaC). Sus principales caracteristicas son: - No necesita instalación de agentes especiales en las maquinas administradas (solo SSH) - La definición de tareas se hace en unos ficheros llamados Playbooks (en formato YAML) (NOTA: Sirve para Linux y Windows)
Tipos de datos del estandar ECMA-404,Tenemos los siguiente "tipos" de valores --> Object.Number.String.Array.true.false.null (NOTA: Recordad que en el standard no hace referencia al tipo Boolean. otra cosa será como lo pregunten)
¿En que consiste la integridad referencia el modelo Relacional?,Significa que la clave externa de una tabla de referencia siempre debe aludir a una fila válida de la tabla a la que se haga referencia o ser NULL. La integridad referencial garantiza que la relación entre dos tablas permanezca sincronizada durante las operaciones de actualización y eliminación.
¿Donde podemos encontrar el fichero classes.dex?,Dentro del fichero con extension .apk (empaquetado de app's para Android). Contiene todas los fichero .class
¿Con que sentencia de iptables podemos proteger el puerto 80 para que solo sea accesible por determinadas IP's?,iptables -A INPUT -s 10.50.0.0/16 -p tcp --dport 80 -i eth0 -j ACCEPT
¿Cual es la utilidad del patrón Iterator?,Poder recorrer una coleccion concreta (arbol.pila.lista....) siempre de la misma forma (sin importar cual sea dicha coleccion)
¿Para qué está admitida una firma CSV en la administración?,(Ley 40/2015) Artículo 42. Sistemas de firma para la actuación administrativa automatizada. En el ejercicio de la competencia en la actuación administrativa automatizada. cada Administración Pública podrá determinar los supuestos de utilización de los siguientes sistemas de firma electrónica: - Sello electrónico de Administración Pública. órgano. organismo público o entidad de derecho público. basado en certificado electrónico reconocido o cualificado que reúna los requisitos exigidos por la legislación de firma electrónica. - Código seguro de verificación vinculado a la Administración Pública. órgano. organismo público o entidad de Derecho Público. en los términos y condiciones establecidos. permitiéndose en todo caso la comprobación de la integridad del documento mediante el acceso a la sede electrónica correspondiente.
¿Qué puertos hay involucrados en una sesión de FTP?,Modo activo --> 21 (control) y 20 (datos) Modo pasivo --> 21 (control). El puerto de datos es con un puerto local sin especificar FTP + SSL (FTPS) --> 990 (control) y 989 (datos)
¿A que se le llama vector de interrupcion?,A la dirección de memoria de la rutina ISR de tratamiento de una interrupcion (NOTA: Se almacena en una tabla de vectores de interrupcion en las primeras posiciones de memoria principal)
¿Cual es el objetivo de la herramienta del CCN Gloria?,Ofrecer un SIEM centralizado que recoger información de los organismos (Carmen.Sonda SAT-Inet. etc)
¿Qué caracteristicas tiene el sistema de codificación de caracteres iso-8859-1?,Sistema de codificación de 8bits orientado al alfabeto latino (latin-1 es su alias) que incluye por ej la ñ (pero no el simbolo del €)
¿Qué tipo de dispositivo es un firewall WAF?,Un tipo de firewall de aplicación especializado en analizar posibles ataques web (según OWASP TOP 10)
En gestión de red. ¿que relación existe entre un MIB y un OID?,El MIB es la BBDD de gestión (jerarquica) que hay detrás de un dispositivo y cada una de las ramas/nodos(propiedades) de esa BBDD tiene un OID unico
¿Qué información tiene un fichero con extensión .ldif?,Formato de texto plano que representa los datos de una entrada del arbol asi como alguna de sus operaciones (add.delete....)
¿En qué consisten las pruebas unitarias? Productos,Pruebas de una pieza del software de forma asilada del resto (para aislar por ej. se usa Mockito) Algunas herramientas serían: JUnit.PHPUnit.NUnit.Mocha/Jest/Jasmine(Javascript)
¿Cual es el nivel minimo de accesibilidad WCAG según el RD 1112/2018?,El RD 1112/18 transpone la directiva europea 2016/2012. que hace referencia a la norma técnica europea EN 301549 (actualmente version 3.1.1) publicada por AENOR como UNE-EN 301549:2020. y que están alineadas con las WCAG 2.1 exigiendo nivel AA (https://olgacarreras.blogspot.com/2014/02/en-301-549-primera-norma-europea-de.html)
¿Qué es un preprocesador CSS? Utilidad y ejemplos,Es un tipo de lenguaje de script que nos ofrece unas cuantas funcionalidades superiores a CSS a lo hora de definir estilos (variables. bucles. mixins. herencia...) pero que tiene que ser compilado a CSS en fase de desarrollo. Ejemplos: less. sass. stylus. etc
¿En qué consiste un acceso primario en RDSI?,Está formado por 30 canales B de datos (64Kbps) + 1 canal D para señalización (64Kbps) --> Linea de 2Mbps
¿Qué fechas se guardan en un i-nodo?,a) atime (fecha ultimo acceso) b) mtime (fecha ultima modificacion) c) ctime (fecha ultimo cambio) d) btime (fecha de nacimiento/creación) --> POCO SOPORTADO
¿Para que se usa el estereotipo <<extend>> en UML?,Sirve para relacionar dos casos de uso en la que se quiere expresar OPCIONALIDAD (no siempre se dará el caso de uso extendido)
¿En que consiste el teorema CAP en entornos NoSQL?,(Consistencia.Availability/Disponibilidad.Tolerancia al Particionado) En que en un sistema distribuido no podemos garantizar estas tres propiedades a la vez sino dos de ellas. Ej. Sistemas con AP --> Cassandra Sistemas con CP --> MongoDB Sistemas con AC --> RDBMS
¿En que condiciones se tiene que dar un algoritmo de busqueda binaria (en un array) y cual es su complejidad algoritmica?,El array debe de estar ordenado. Complejidad mejor caso O(1) y en el resto O(log(n))
¿Qué condiciones se tienen que cumplir para poder crear una subsede electrónica?,(Art 4 del RD 1671/2009 que desarrolla parcialmente la ley 11/2007 de acceso electronico a los ciudadano)
2. Se podrán crear una o varias sedes electrónicas derivadas de una sede electrónica.,Las sedes electrónicas derivadas. o subsedes. deberán resultar accesibles desde la dirección electrónica de la sede principal. sin perjuicio de que sea posible el acceso electrónico directo. Las sedes electrónicas derivadas deberán cumplir los mismos requisitos que las sedes electrónicas principales. salvo en lo relativo a la publicación de la orden o resolución por la que se crea. que se realizará a través de la sede de la que dependan. Su ámbito de aplicación comprenderá órgano u órganos con rango. al menos. de SUBDIRECCION GENERAL.
¿Cuales son las dimensiones de la seguridad según el ENS?,-      Disponibilidad [D]. -      Autenticidad [A]. -      Integridad [I]. -      Confidencialidad [C]. -      Trazabilidad [T].
¿Qué metodos define la interface Filter del API Servlet?,a) init(FilterConfig) b) doFilter(ServletRequest.ServletResponse) c) destroy()
¿Cual es la utilidad y estructura del fichero /etc/fstab?,Es un fichero donde especificamos los montajes que queremos que se hagan al arrancar el sistema Contenido del fichero: <dispositivo> <punto_de_montaje> <sistema_de_archivos> <opciones> <dump-freq> <pass-num> Ej: /dev/hda1 /var ext3 defaults 0 0
Algoritmos de grafos que conozca y su clasificación,* Camino minimo entre dos nodos --> DIJKSTRA. FLOYD y BELLMAN-FORD * Generacion de arbol de recubrimiento minimo --> PRIM y KRUSKAL * Descubrimiento de componentes fuertemente conexas --> TARJAN * Maximización de flujo --> FORD-FULKERSON
¿En que consiste una sonda RMON? ¿Tiene alguna relación con el concepto de MIB?,* En un tipo de agente SNMP que responde a un MIB especial. muy orientado a información agregada/estadistica de la red * Podemos instalar una sonda RMON externa a un router/switch mediante Port Mirroring para extraer todo el trafico y analizarlo * Tenemos dos versiones RMONv1 y RMONv2(con detalles sobre nivel de red y superiores) * Un extracto del MIB definido es su rfc2819 sería este: rmon    OBJECT IDENTIFIER ::= { mib-2 16 } statistics        OBJECT IDENTIFIER ::= { rmon 1 } etherStatsTable OBJECT-TYPE SYNTAX     SEQUENCE OF EtherStatsEntry MAX-ACCESS not-accessible STATUS     current DESCRIPTION "A list of Ethernet statistics entries." ::= { statistics 1 } history           OBJECT IDENTIFIER ::= { rmon 2 } alarm             OBJECT IDENTIFIER ::= { rmon 3 } hosts             OBJECT IDENTIFIER ::= { rmon 4 } hostTopN          OBJECT IDENTIFIER ::= { rmon 5 } matrix            OBJECT IDENTIFIER ::= { rmon 6 } filter            OBJECT IDENTIFIER ::= { rmon 7 } capture           OBJECT IDENTIFIER ::= { rmon 8 } event             OBJECT IDENTIFIER ::= { rmon 9 } rmonConformance   OBJECT IDENTIFIER ::= { rmon 20 }
Interfaces/Anotaciones principales del API JPA,Interfaces EntityManager (metodos como persist().merge().find().remove().flush().detach().createQuery().createNativeQuery()) EntityManagerFactory (patron de fabrica para obtener un EntityManager) Anotaciones @Entity/@Table/@Column/@Id/@GeneratedValue/@OneToMany/@JoinColumn (mapping clases-tablas) @Query(para crear consultas: sql y jpql) @PersistenContext (para inyectar un EntityManager. ej. https://www.baeldung.com/jpa-hibernate-persistence-context)
¿En qué consiste la segunda forma normal?,Solo se da si tenemos una clase primaria compuesta. Si la clave es compuesta. todas las dependencias funcionales de los atributos "no clave" tienen que ser de toda la clave (no de una parte)
