# Codigos respuesta HTTP

Tipo 100s,Informativos
Que Firewire va sobre RJ-45?, Firewire S800T
Organismo estandanrización USB?, USB-IF; USB Implementers Forum
Cual es el rango de potencia de Power Delivery(EPR)3.1?, 100 W a 240 W

# Resoluciones pantalla

Cual es la resolución de SVGA?, 800 x 600
Cual es la resolución de XGA?, 1024 x 768
Cual es la resolución de 720p?, 1280 x 720 (HD)
Cual es la resolución de 1080p?, 1920 x 1080 (FHD)
Cual es la resolución de 4K?, 3840 x 2160
Cual es la resolución de 8K?, 7680 x 4320
Cual es la resolución de 2K?, 2048 x 1080
Cual es la resolución de quadHD?, 2560 x 1440

# Puertos comunicaciones

RIP, 520 UDP
RIPng, 521 UPD
BGP, 729 TCP
LDP, 646 UDP-TCP
DNS, 53 UDP-TCP; 853 TLS
LDAP, 389; 636 con seguridad
Kerberos, 88 UDP
DHCP, 67 UDP(servidor) 68 UDP (cliente)
DHCP6, 546 UDP(cliente) 547 UDP(servidor)
SNMP, 161(Agente) y 162(Gestor; recibe Trap) UDP.
RMON, 560 UDP
FTP, 20 TCP(datos) 21 TCP(control)
FTPS(SSL), 989(data) 990(control)
SFTP(SSH), 22 TCP
TFTP(trivial), 69 UDP
SMTP, 25; 587; 467(SMTPS) todos TCP
POP3, 110 Y 995(cifrado) ambos TCP
IMAP4, 143(tcp-udp); 993(tcp) cifrado
HTTP 3.0, 80 udp en la versión 3
HTTPS, 443 TCP
Telnet, 23 TCP
SSH, 22 TCP
IPP(internet printing protocol), 631
LPD(Line Printer Daemon), 515 TCP
RTP(Real Time Protocol), 5004
RTCP(Real Timr Control Protocol), 5005
SIP, 5060
RDP, 3389
RPC, 530
RSYNC, 873
SMB/CIFS, 445 TCP
NTP(ultima 4), 123 UDP
NetBIOS(Obsoleto), 137
MySQL, 3306
Postgres, 5432
SQLServer, 1433
Oracle, 1521 reemplaza 2483

# Java Ecosistema

javac, compilador
java, interprete
jshell, interprete ReadEvaluatePrintLoop - REPL de comandos interactivo. A partir de Java9
javadoc, generacion de documentacion html a partir de los fuentes
jar, empaquetar clases compiladas a veces con algun fichero mas como xml etc
jarsigner, firmar y verificar ficheros jar
keytool, criptografia
wsimport, generacion de clases automaticas para los clientes de web services de tipo SOAP
xjc, compilador que genera clases java a partir de un XSD
rmic, compilador que genera clases java stubs en cliente y skeletons en servidor para su comunicacion C/S en programacion distribuida
rmiregistry, servicio de nombres para registrar objetos distribuidos
javap, desensamblador de ficheros .class
jdb, depurador
jdeps, analizador de dependencias de clases o de paquetes
jmc y jconsole, herramientas de monitorizacion de la JVM
Estructuras de programación en Java, Paquetes(Agrupación de clases; interfaces...); Clases; Interfaces; Enum; Anotaciones(se declara con @interface)
final en clase; atributo; metodo, En class(No permite heredar hacia abajo); en atributo(Como una constante); en metodo(No permite sobreescritura)
static, atributos y metodos de clase
abstract, clase abstracta(no se puede instanciar; obliga que las hijas implementen metodos abstractos o las hijas sean abstract); metodo abstracto(se declara sin codificarlo; obliga que la clase sea abstracta)
Permisos de acceso/visibilidad, protected(acceso para todos los hijos); private(acceso solo desde su clase); public(acceso desde cualquier parte del programa); default(Publico para su paquete)
Ordena: clasePrincipal; implements; claseSecundaria; interfazUno; abstract; interfazDos; extends; class;, public abstract class ClaseSecundaria extends ClasePrincipal implements interfazUno; interfazDos 
native, Definir un codigo que no esta en Java y queremos usar otro lenguaje de programación
volatile, Cada Thread utiliza la memoria principal para tener los datos más actualizados en vez de la cache del Thread. 
transient, Se usa para que un atributo no se serialice. Que no lo guarde o envie por la red
synchronized, Un metodo synchronized solo soporta que sea ejecutado por 1 Thread cada vez. Tiene que ver algorit. exclusión mutua 
Paquetes, (organizar a las clases). Tenemos que importarlos si queremos usar las clases de ese paquete salvo las que están en el paqueta java.lang (NOTA: los paquetes en java se organizan fisicamente dentro del jar en carpetas/directorios)
Interfaces, definicion funcional pura --> sin codigo por lo menos hasta la version 1.7. Obliga a una serie de clases a cumplir con ese contrato.
Programacion de red (bajo nivel), Socket/ServerSocket (tratamiento de TCP/IP)
Programacion de red (alto nivel), RMI (programacion distribuida o cliente/servidor o llamada a metodos remotos)
Persistencia de bajo nivel, (JDBC)Guardar/Recuperar/Borrar ... info de la BBDD relacional
Interface Graficos de Usuario, Awt; JFC/Swing
Soporte XML, JAXP --> SAX;DOM;StaX;TrAX
Reflection, capacidad de acceder a los metadatos (clase;atributos;metodos) de un objeto en tiempo de ejecucion
Novedades (version 1.5; 1.6; 1.7; 1.8; 1.9...),"
- Streams (funciones map;filter;etc)
- Expresiones Lambda
- Optional y tipos de @FunctionalInterface (Function; Predicate...)
- java.time copia de Joda-Time
- Default Methods (en interfaces) permiten implementar codigo en las interfaces. Java 1.8
- Modules (fichero module-info.java --> dependencias; servicios que ofrece; que consume; etc)
"
IDE's (Entornos/Editores de desarrollo), Eclipse; IntelliJ; Netbeans...
Automatizacion del desarrollo, Ant (build.xml); Maven (pom.xml); Gradle (build.gradle en Groovy or Kotlin DSL); Ivy (extension de Ant para gestion de dependencias);Jenkins (integracion continua)...
JDK's, OpenJDK; Amazon Corretto; IBM JDK...
iText y PDFBox, Generacion de PDF's
BouncyCastle, Criptografia
Log4j; Logback; SLF4J(Facade;es una API del resto librerias logging)..., Logging
Xerces; Xalan; Woodstox y Apache FOP, Parsers XML y Procesors XSL
JUnit+Mockito y JMeter, Pruebas unitarias(JUnit);Juego de pruebas(Mockito) y de carga(JMeter)
Apache Commons (lang;dbcp;crypto;fileupload;io;codec;etc) y Guava de Google, Proposito general
Apache HttpComponents (HttpClient), Peticiones http a bajo nivel (En Java 11 ya existe un equivalente en java.net.http.HttpClient)
Gson y Jackson, manejo de información en formato JSON
Lombok, Simplifica el codigo. Usando anotaciones @Getter; @Setter... Genera automaticamente; no necesitamos crear las funciones 
Apache POI, manejo de documentos de Office
Apache Tika, Deteccion y extraccion de contenido de multitud de formatos
Pentaho Kettle, ETL para extraccion de información; transformación y carga de ficheros
Que dos tipos de excepciones existen,"
- checked exception(heredan de Exception; obligan a poner try y catch salvo que se ponga throws ej. g() throws{....}) y 
- unchecked exception(heredan de RuntimeException; no obliga a poner try/catch ni throws)
"
De que clase heredan los Error y las Exception?, Throwable. Las RuntimeException heredan de Exception. https://docs.oracle.com/javase/tutorial/essential/exceptions/throwing.html

# SQL

Configurar e inicio de transacción SQL y sublenguaje donde se encuentra, SET TRANSACTION(configurar TX) / START TRANSACTION(iniciar TX). DCL->TCL
Como establecer un punto en las transacciones para no deshacer todo, con SAVEPOINT / RELEASE SAVEPOINT
Confirmar o deshacer cambios en una transacción y sublenguaje donde se encuentra, COMMIT / ROLLBACK. DCL-TCL
Sublenguaje donde se encuentra la sentencia MERGE y para que sirve?, DML; mezcla de una tabla sobre otra; MERGE INTO tabla_target USING tabla_source ON search_condición ...
Sublenguaje donde se encuentra la sentencia CALL procedure y para que sirve, DCL sirve para llamar/ejecutar un procedimiento almacenado(SQL/PSM). Los datos no salen del SGDB
Que sentencia se usa para borrar objetos y cambiarlos?, DROP y ALTER
En que sublenguaje se encuentra TRUNCATE, DDL normalemente pero puede encontrarse en DML en algunos gestores. Borra todas las filas de tabla pero la estructura(index; constraints...) permanece
Que constraint/restricciones existen, CHECK(condición); PRIMARY KEY; UNIQUE(admite 1 null); FOREIGN KEY
"Como crear una tabla distribuidores(
    dist_id: máximo 4 caracteres y sin nulos,
    dist_nombre: 40 caracteres, 
    sales_rep: enteros, 
    zip: 5 caracteres),
clave primaria: dist_id
clave foranea apunta a empleados: sales_rep
restricción valor unico: zip
restricción 5 digitos 0-9: zip","
CREATE TABLE distribuidores (
  dist_id CHAR(4) NOT NULL, 
  dist_nombre VARCHAR(40), 
  sales_rep INT, 
  zip CHAR(5) CONSTRAINT pk_dist_id PRIMARY KEY(dist_id), 
  CONSTRAINT fk_emp_id FOREIGN KEY(sales_rep) REFERENCES empleados(emp_id), 
  CONSTRAINT uniq_zip UNIQUE(zip) CONSTRAINT chk_zip CHECK(
    zip LIKE '[0-9][0-9][0-9][0-9][0-9]'
  ))"
Sentencia para cambiar una tabla y añadir/cambiar/borrar una columna,"
ALTER TABLE nombre_tabla ADD COLUMN nombre_col [tipo_dato] [atributos]
ALTER TABLE nombre_tabla ADD [restricción constraint]
ALTER TABLE nombre_tabla ALTER COLUMN nombre_col SET DEFAULT; SET NOT NULL; SET DATA TYPE [tipo_dato]
ALTER TABLE nombre_tabla DROP COLUMN nombre_col"
Como dar permisos a un usuario sobre una tabla/vista..., GRANT [privilegios] ON object_name TO usuario(s)/role(s) [WITH GRANT OPTION]
Como quitar permisos a un usuario sobre una tabla/vista..., REVOKE [privilegio] ON object_name FROM usuario(s)/role(s)
Como insertar datos en una tabla,"INSERT INTO [tabla] (col1,col2...) VALUES ('...','...',...)"
Como actualizar datos en una tabla, UPDATE [tabla] SET col1=valor; col2=valor WHERE [condicines]
Borrar datos en una tabla, DELETE FROM [tabla] WHERE [condiciones]. No existe DELETE * FROM [tabla]
Orden de palabras reservadas en una consulta,"
SELECT 
  [ALL | DISTINCT] ...
FROM 
  ... [JOIN] ...
WHERE 
  ... [AND | OR | NOT] ...
GROUP BY 
  ...
HAVING 
  ...
ORDER BY 
  ... [ASC | DESC]"
Que funciones de agregado existen, SUM; COUNT(* o columna; no nulos); MAX/MIN; AVG(media)
Sintaxis y operadores utilizados en subconsultas,"
SELECT 
  ...
FROM 
  ...
WHERE 
  [EXISTS] |
  col1[[NOT] IN] |
  col1[ =, >=,<...][ANY / SOME / ALL] (
    SELECT 
      ...
  )"
Que sentencia se usa para ver el plan de ejecución, explain plan
Con que otro operador va HAVING?, con GROUP BY
Que diferencia hay entre UNION y UNION ALL?, UNION ALL no elimina si hay repetidos. SELECT cols UNION [ALL] SELECT cols; Queries deben ser compatibles
Sintáxis de trigger,"
CREATE TRIGGER auditar_phone_book 
    [AFTER | BEFORE | INSTEAD OF] 
    [INSERT | UPDATE | DELETE] ON phone_book FOR EACH ROW 
    BEGIN 
    INSERT INTO phone_book_auditoria(col1,...) 
VALUES 
  (
    auditoria_seq.nextval, 'UPDATE', 
    [OLD | NEW].col1...
  );
END;"
Que caracterísiticas tiene un procedimiento?, Se ejecuta con CALL; acepta parametros(a diferencia de los triggers) no retorna valor; pueden usar cursores; CREATE PROCEDURE nombre... 

# Oracle SQLserver Mysql Postgres

En Oracle que significado tiene la base de datos, Solo hay una. Es el conjunto de ficheros(estructura interna) pertenece a Oracle no al usuario
Puerto Oracle, 1521 y reemplazado por 2483
Que elementos conoces de la arquitectura Oracle, PGA(Proceso de servidor atiende usuario); SGA(Area global caches); Listener(atiende peticiones usuario); DBWn(escritura ficheros de DB); LGWR(Escribe redo log)
Que tablespaces se crean en Oracle, USERS; SYSTEM; SYSAUX
Que estructura logica y fisica tiene oracle?,"
- Logica: Base de Datos->Tablespace->Segmento(Tabla;indice;undo-rollback...)->Extension()->Bloque
- Fisica: Archivo de datos->Bloque del S.O.
- Tablespace se relaciona con-> Archivo datos y Bloque logico se relaciona con-> Bloque del S.O."
Que ficheros crea SQL Server por cada DB, Primary(.mdf);Secundary(.ndf);Transaction Log(.ldf)
Ficheros que crea MySQL, .frm(formato tabla); myd(datos); myi(indices)
Script de MySQL para instalación segura, mysql_secure_installation; mariadb-secure-installation 
Lenguajes SQL/PSM de Oracle;SQL Server; Postgres, PL/SQL; Transact-SQL; PL/pgSQL







