# Linux versiones

path version Red Hat, cat /etc/redhat-release
tcpdump -w 0001.pcap -i eth0, guardar en un fichero la captura
tcpdump -i eth0 tcp, captura trafico tcp
tcpdump -i eth0 port 22, captura trafico del puerto 22
tcpdump -i eth0 src/dst 192.168.0.2, captura hacia/desde una IP
ifup eth0 / ifdown eth0, activar y desactivar interfaces de red
iw dev, muestra tus interfaces wifi. Ej. wlp2s0
iw wlp2s0 link, estado de conexion de ese dispositivo
iw wlp2s0 scan, escanea la redes wifi
nmcli dev wifi connect MiegiWifi password 1234, conectar a una wifi
nmcli dev show, listado los dispositivos de red
nmcli connection, listado de conexiones activas
nc -v -w 2 z 192.168.56.1 22, scan a single port
nc, paquete nc en RedHat y Netcat en Debian. Navaja suiza de red
nc parametro: -v, verbose
nc parametro: -w, timeout_segundos
nc parametro: -z, simplemente que haga un escaneo
nc -l -vv -p 5000, crear un servidor de chat -l listen mode. -vv more verbose

# Linux gestion sistema seguridad hardware shutdown systemctl service dmesg free ulimit

shutdown now, con -P apaga de la maquina
shutdown -H now, para la maquina: procesos y cpu. Ej: mantenimiento/cambio tarjeta PCI
shutdown -c, cancela un shutdown pendiente
poweroff, apaga la maquina
poweroff --reboot, reinicia la maquina
halt, para la maquina
halt -p, apaga la maquina
halt --reboot, reinicia la maquibna
systemctl status firewalld.service, chequea que el estado del servicio/unidad
systemctl status firewalld, idem sin el '.service'
systemctl list-unit-files --type=service --state=active, lista todos los servicios activos
systemctl start/restart/stop/reload httpd.service, inicio;reinicio;parada y recarga
systemctl enable/disable httpd.service, activar el servicio al arranque
systemctl reboot, reiniciar la maquina
systemctl poweroff, apagar la maquina
systemctl halt, parar la maquina
service miservicio start/stop/restart/reload/status, cambiar estado del servicio
chkconfig miservicio on/off, activar el servicio al arranque
dmesg --level=alert;crit;..., filtrar por el nivel de cada mensaje
dmesg -k, mensajes del kernel
dmesg -T, muestra la fecha y hora en un formato legible
dmesg -w, se queda esperando a nuevos mensajes
dmesg -u, mensajes del espacio de usuario
sysctl -a, ver una lista completas de los parametros del kernel
sysctl -w net.ipv4.ip_forward=1, ej. capacidad de routing; aunque temporal
echo 'net.ipv4.icmp_echo_ignore_all = 1' >> /etc/sysctl.conf, es definitivo
sysctl -p, aplicar los cambios
lscpu, equivalente a cat /proc/cpuinfo
lsusb / lspci, muestra los dispositivos conectados al USB o al PCI
modprobe, añadir o borrar modulos del kernel
free, muestra información de la memoria RAM obtiene la informacion de cat /proc/meminfo
free -h, formato legible
free -b/m/g/k, información en bytes/kibi/mebi/gibibyte --> base 2
free --si, aplica las unidades del sistema internacional --> base 10
ulimit, configuración/control de recursos para usuarios cambiar estos parametros en el fichero /etc/security/limits.conf. Un ususario puede cambiar su limite soft pero nunca el hard
ulimit -Hn, ver el hard limit
ulimit -Sn, ver el soft limit
sudo -u carlos comando, ejecuta comando como si fuera 'carlos'. Fichero de configuracion /etc/sudoers

# Linux ssh scp

apt install openssh-server, solo servidor
apt install ssh, instala cliente y servidor
/etc/ssh/ssh_config, fichero configuración de cliente ssh
/etc/ssh/sshd_config, fichero de configuración del servidor ssh
$HOME/.ssh/authorized_keys, fichero con las claves publicas de los clientes autorizados a conectarse
$HOME/.ssh/known_hosts, fichero con los fingerprint de la claves publicas de los servidores a los que nos hemos conectado
/etc/ssh/ssh_host_rsa_key, autenticacion del host; otras: /etc/ssh/ssh_host_dsa_key; /etc/ssh/ssh_host_ecdsa_key
ssh-keygen -t rsa/dsa/ecdsa -b numero_bits_clave, generacion de par de claves
ssh-keygen -l -f ssh_host_ecdsa_key.pub, muestra el fingerprint de esa clave
ssh-copy-id, copia de la clave publica al servidor donde queremos conectarnos ej. ssh-copy-id username@remote_host
ssh-agent, agente de autenticacion --> Para evitar tener que teclear la Passpharse cada vez
ssh-add, añadir claves privadas al agente de autenticacion
ssh-keyscan, recopilar claves publicas de ciertos hosts
Campo dentro /etc/ssh/sshd_config PubkeyAuthentication yes|no, permitir autenticación con clave pública. Campo: AuthorizedKeysFile  .ssh/authorized_keys .ssh/authorized_keys2
Campo dentro /etc/ssh/sshd_config PermitRootLogin yes|no, permitir hacer login a usuario root
Campo dentro /etc/ssh/sshd_config PasswordAuthentication yes|no ,permitir hacer login con password. Opcional PermitEmptyPasswords yes|no
ssh, cliente de ssh
ssh username@remote_host, conectar al host e iniciar una sesion interactiva remotamente
ssh -l username remote_host, conectar al host e iniciar una sesion interactiva remotamente
ssh username@remote_host comando, ejecutar un comando remotamente
ssh -p puerto username@remote_host comando, conectar a un puerto diferente al 22
ssh -A, estando conectado a un servidor si quieres conectarte a otro esta opción transmite las credenciales
ssh -L your_port:site_or_IP_to_access:site_port username@host, crea un tunel local
ssh -R remote_port:site_or_IP_to_access:site_port username@host, crea un tunel remoto
scp your_username@remotehost.edu:foobar.txt /some/local/directory,"
- descargar fichero remoto en directorio del host local
- scp [other options] [source username@IP]:/[directory and file name] [destination username@IP]:/[destination directory]"
scp foobar.txt your_username@remotehost.edu:/some/remote/directory, subir fichero local a servidor remoto
Opción scp: -r, copia recursiva
Opción scp: -p, conservará los tiempos de modificación iniciales y los atributos del archivo
Opción scp: -l, limita el ancho de banda usado. Kbit/s

# Docker

"Como obtener información sobre el uso de docker en el equipo?
- Containers: 7
-  Running: 0
-  Paused: 0
-  Stopped: 7
- Images: 5
Registry: https://index.docker.io/v1/
Docker Root Dir: /var/lib/docker
",docker info. Con docker inspect se obtiene información de objetos: volumen; imagen...
Como descargar una imagen del hub?,docker pull jenkins
Comando para obtener la versión del runtime docker,docker version
Mostrar listado de los contenedores ejecutandose en el sistema,docker ps; docker container ls
Mostrar listado de todos los contenedores,docker ps -a; docker container ls -a
Como arrancar un contenedor,docker run image
Como arrancar un contenedor con mapeo de puerto 8080 host y puerto contenedor 8888,docker run -p 8080:8888 jenkins. Otro ejemplo: docker run -p 8080:8080 -p 50000:50000 jenkins
Como arrancar un contenedor en background; interactivo, docker run -dit image
Crear un volumen Docker, docker volume create --name [nombre volumen]
Listar volumenes Docker, docker volume ls
Que parametros usar para arrancar un contenedor con un volumen almacenado en /var/mnt/datos en el host y /home/datos en el contenedor,-v /var/mnt/datos:/home/datos
Que parametro usar para arrancar en segundo plano,-d
Como crear un contenedor sin arrancarlo,docker create NombreImagen; docker container create (alternativa)
Como arrancar o parar un contenedor,docker start/stop id_del_contenedor
Crear una nueva imagen de un contenedor editado, docker commit id_contenedor usuario/nombreimagen
Como crear una imagen a partir del fichero Dockerfile situado en el directorio actual,docker build -t NombreImagen:TagImagen
Dockerfile: a partir de la cual crear una imagen ej. imagen:tag_basealpine;ubuntu;scratch...,FROM
Dockerfile: copiar desde el HOST/url hacia dentro de la imagen,COPY. Tambión existe ADD que sirve para urls
Dockerfile: ejecucion de comandos: apt; mkdir; etc, RUN
Dockerfile: exponer puertos en el container, EXPOSE solo con esto no podremos acceder desde el HOST
Dockerfile: definir un directorio cuya información será persistente,VOLUME /myvolume. Nota: no especifica el directorio del host solamente se especifica dentro del contenedor
Dockerfile: definir variable entorno/parametros, ENV(usado en el proceso build y persiste en contendor); ARG (solamente esta disponible en proceso build)
Dockerfile: establecer el directorio de trabajo, WORKDIR
Dockerfile: usuario con el que se ejecutarán las acciones,USER por defecto root
Dockerfile: comando+argumentos por defecto que se ejecutará cuando se inicie un CONTAINER con esta imagen,CMD Solo puede haber un CMD en el Dockerfile!!! Alternativa: ENTRYPOINT(no permite sobreescribir comando)
Mostrar imagenes que hay disponibles,docker images. Ojo la S! comando igual a ->  docker image ls
Como ejecutar un comando contra un contenedor en ejecución,docker exec
Como entrar en el bash del contenedor,docker exec -it centos /bin/bash se crea un nuevo proceso en el enviroment del contenedor https://shorturl.at/xMNP5
Como unirse a un contenedor en ejecución,docker attach conecta al standard input/output/error del proceso principal main https://shorturl.at/xMNP5
Borrar contenedor,docker rm id_del_contenedor
Borrar imagen docker,docker rmi id_de_la_imagen

# Kubernetes

Cliente terminal kubernetes,kubectl
Conjunto de másquinas físicas o virtuales y otros recursos utilizados por kubernetes,Cluster
Una máquina física o virtual ejecutándose en kubernetes donde pods pueden ser programados,Nodo
Son la unidad más pequeña desplegable que puede ser creada; programada y manejada por kubernetes. Este Pod es un grupo de uno o más contenedores; con almacenamiento compartido entre ellos,Pod
Se asegura de que el número específicado de réplicas del pod estén ejecutándose. Permite escalar de forma facil los sistemas y maneja la re-creación de un pod cuando ocurre un fallo,Replication Controller
Es una abstracción que define un conjunto de pods y la lógica para acceder a los mismos,Service
Kubernetes: como se gestionan los pods definiciones_pods.yaml,kubectl apply -f definicion_pods.yaml modo declarativo O kubectl create -f definicion_pods.yaml modo imperativo https://i.stack.imgur.com/7IHhi.jpg
Pods que están ejecutandose,kubectl get pods
Nodos en el cluster,kubectl get nodes
Info mas detallada del pod,kubectl describe pod nombreDelPod

# Apache

Como instalar apache?, sudo apt install apache2
Como activar configuración de un site?, a2ensite 100-ruinosa.conf. Se hacen unos enlaces simbolicos entre ficheros del directorio sites_available y sites_enabled; dentro de /etc/apache2
Como activar modulos por ejemplo ssl?, a2enmod ssl activa el modulo de SSL. En realidad se hacen unos enlaces simbolicos entre ficheros del directorio mods_available y mods_enabled; dentro de /etc/apache2
Como gestionar servicio apache?, apache2ctl status/fullstatus; apache2ctl start/stop/restart apache2ctl -t test del fichero de configuracion
Como ver los modulos activos?, apache2ctl -M
Como testear el fichero de configuración?, apache2ctl -t
Que campo se usa dentro del fichero de configuración del site para asignar un nombre dominio, ServerName ruinosa.com. Nota: usa la cabecera http Host: ruinosa.com para identicar la web solicitada
Que campo se usa dentro del fichero de configuración del site para asignar el path principal, DocumentRoot /var/www/ruinosa.com
Que campo se usa dentro del fichero de configuración del site para asignar el puerto de escucha,"`<VirtualHost *:8080>`"
Como configurar el SSL para un site?,"
Hay que añadir al fichero:
SSLEngine on
SSLCertificateFile /etc/apache2/ssl/example/apache.crt
SSLCertificateKeyFile /etc/apache2/ssl/example/apache.key
"
Como añadir al site una autenticación básica, Añadir al fichero de configuración del site: AuthType Basic; AuthUserFile /var/www/acme.com/.users.pwd; require valid-user
Path directorios apache en Debian y Redhat?, En Debian /etc/apache2/apache2.conf En Redhat /etc/httpd/conf/httpd.conf

# Ansible

/etc/ansible/group_vars/,"
Directorio para colocar los ficheros YML con las variables de configuración para los grupos de Ansible
ansible_ssh_user: root"
/etc/ansible/ansible.cfg,"
Configuración general de Ansible
[defaults]
inventory      = /etc/ansible/hosts"
/etc/ansible/hosts,"
inventario de host
[group_name]
alias ansible_ssh_host=your_server_ip
[labservers]
nodo1 ansible_ssh_host=192.168.0.24
nodo2 ansible_ssh_host=192.168.0.26
"
ansible all -m ping, -m para usar un determinado module
ansible all -m shell -a 'df -h', -a para pasar argumentos al module
ansible all -a 'uname -a', usa el modulo por defecto 'command'
ansible all -m apt -a 'name=vim', instala vim en todos los servidores
ansible all -m file -a 'dest=/var/www/prueba mode=644 state=directory', crear un directorio
ansible-playbook apache.yml,"
ejecuta un playbook sobre server1
Ejemplo de playbook:
- name: Playbook to install Apache
   hosts: labservers (grupo servidores donde se va instalar)
   become: true
   user: root
   tasks:
    - name: Ansible apt install Apache
      apt:
        name: apache2
        state: present (present: asegurará se instale un paquete; absent: eliminará el directorio; latest: actualiza última versión)
"

# SaltStack

/etc/salt/master,"
fichero de configuración del master
interface: 0.0.0.0
publish_port: 4505
user: root
ret_port: 4506
file_roots:
	base:
		- /srv/salt"
/etc/salt/minion_id, fichero de configuración minion; se genera tipicamente con el hostname cuando arranca el minion
/etc/salt/minion,"
fichero de configuración minion
master: 192.168.0.23
master_port: 4506
user: root
file_client: local (para configurar el minion con Modelo Standalone)"
systemctl start salt-master | service salt-master start | salt-master -d | salt-master -l debug, formas de iniciar el master
salt-minion -d, iniciar el minion
Que es el fichero /src/salt/mc.sls, Ejemplo de fichero con Salt States formulas. Similar a playbook en Ansible
salt-key -L, listar todas las claves que maneja el master
salt-key -A, para aceptar claves pendientes
salt-call --local, para ejecutar funciones directamente en el minion sin que este contacte con el master - Modelo Standalone
salt '*' test.version, les dice a los minion que ejecuten la funcion test.version
salt '*' state.apply mc, invocar al fichero sls correspondiente
salt-cp '*' salt.doc /usr/local/, enviar el fichero salt.doc a todos los minions
salt '*' disk.usage, orden a minions: espacio en disco utilizado
salt '*' cmd.run 'ls -l /etc', orden a minions: ejecutar comando
salt '*' pkg.install vim, orden a minions: instalar vim
salt '*' network.interfaces, orden a minions: para obtener las interfaces red
salt '*' grains.get 'cpu_model', orden a minions: obtener información sobre el item cpu_model; ipv4_interfaces...

# Oracle SQLserver MySQL Postgres

Oracle: Como crear un tablespace, create tablespace ts_data datafile '/var/data/oracle/ts_data_01.dbf' ... ;
Oracle: Como crear una tabla especificando el tablespace, create table Alumnos(...) tablespace ts_data ...;
Oracle: Como se crea un schema?,"
creando un usuario:
create user nominas_owner
IDENTIFIES BY 'password'
DEFAULT TABLESPACE ts_data
TEMPORARY TABLESPACE ts-temp;
+
GRANT CONNECT TO nominas_owner(CONNECT es un rol que incluye privilegios CREATE SESSION...)"
Oracle: herramientas backup, RMAN y DATA PUMP(expdp: exportación y impdp: importación)
Oracle: herramienta arranque/parada, SQLPLUS. SHUTDOWN TRANSACTIONAL | INMEDIATE | ABORT | NORMAL

mysqldump -u root -p --databases nombre_bd1 nombre_bd2 > respaldo.sql, crea copia de seguridad con username; pide password; para 2 bases de datos
mysqldump opciones: --routines --add-drop-database --no-data,"
- routines: tambien copia PROCEDURES y FUNCTIONS
- add-drop-database Añade la sentencia 'DROP DATABASE' antes de cada sentencia 'CREATE DATABASE'
- no-data: sin datos, solo el esquema"
mysqladmin -u root -p ping, chequea si mysqld está vivo
mysqladmin -u root -p shutdown, shutdown del servidor
mysqladmin -u root -p version, version y estado del servidor
mysqladmin -u root -p processList, lista de todos los procesos activos
mysqladmin -u root -p kill id_proceso, matar un proceso concreto
mysqladmin -u root -p create nominas, crear la bbdd nominas
mysqladmin -u root -p reload, recarga tablas de privilegios
mysqladmin -u root -p stop-slave, para la replicación en un servidor esclavo
mysqladmin -h ip_servidor_remoto, administrar remotamente un mysql
mysqlimport --local db_name fichero.txt, importar datos de un fichero externo
mysqlshow, muestra información sobre bbdd; tablas y columnas
mysqldumpslow, lista queries que tardan mucho tiempo en ejecutarse
myisamchk, chequea; analiza;optimiza y repara tablas MyISAM
pg_ctl start/stop/status/restart, inicio; para y control del PostgreSQL server
psql -h host -d base_de_datos -U user -W, pedirá password
psql base_de_datos < fichero_backup.sql, restauracion; psql -d base_de_datos -f fichero_backup.sql (restauracion)
pg_dump base_de_datos > fichero_backup.sql, backup de una bbdd; pg_dump -Fc base_de_datos > fichero_backup (custom_format)
pg_dumpall > fichero_backup.sql, backup de todas las bbdd
pg_restore -d base_de_datos fichero_backup_custom_format, restauración cuando el formato de backup es de tipo custom-format
PostgreSQL: vacuumdb test; vacuumdb --analyze bigdb, limpia y analiza la bbdd. Ej: tuplas muertas

# SNMP

Como instalar agente SNMP en Linux, apt install snmpd
Que agente se instala en Linux, NET-SNMP
Que se configura en /etc/snmp/snmpd.conf,"
- agentAddress udp:161,udp6:[::1]:161 puerto e ip de escucha
- rocommunity public localhost(contraseña)
- trap2sink   192.168.1.37 public Enviar traps a la dirección
- informsink 192.168.1.1 private Enviar informs a la dirección"

# Windows GPO politicas grupo

Editor de GPOs o directivas de de grupo locales, gpedit.msc
Mostrar las GPOs de usuario y/o computadora que están siendo aplicadas, gpresult
gpresult /r, resumen tando del USER como del COMPUTER
gpresult /z, informacion super detallada
gpresult /h, gpresult /h informe_fichero.html
gpresult /x, gpresult /x informe_fichero.xml
gpresult /S, gpresult /S remote-pc-name
gpupdate /force, forzamos la actualizacion
gpupdate /boot, reinicia despues de la actualizacion
gpupdate /logoff, cierra la sesion despues de la actualizacion
gpupdate /target USER, solo se actualizan las directivas del usuario
gpupdate /target COMPUTER, solo se actualizan las directivas del equipo

# Windows Active Directory

dsquery server domainroot, lista todos los controladores de dominio
dsquery computer OU=Sales;DC=Contoso;DC=Com, busca todos los equipo de esa OU
dsquery computer domainroot -name ServFichero*, busca en el dominio actual todas las maquinas cuyo nombre comience con 'ServFichero'
dsquery user domainroot -name *smith -inactive 3, muestra a todos los usuarios cuyo nombre termina en 'smith' y que lleven más de 3 semanas de inactividad
dsquery user ... -disabled, que las cuenta este desactivada
dsquery user ... --stalepwd 30, que no haya cambiado la password desde hace al menos 30 dias
dsquery user –samid 'username' | dsget user -email, obtener el email de un determinado usuario
dsquery user -samid 'username' | dsget user -memberof -expand, obtener todos los grupos de un usuario; incluidos los anidados
dsquery group -samid 'DEVELOPERS' | dsget group -members -expand  | dsget user -samid, obtener los miembros de un grupo
dsget user ... -effectivepso, obtener las PSO=Politicas de sobre la configuración de las contraseñas
dsget user ... -acctexpires, obtener la fecha de expiracion de la cuenta
dsget user ... -disabled, si o no está desactivada
dsget user ... -mustchpwd, si o no el usuario debe cambiar la contraseña en el siguiente inicio de sesion
dsquery computer -inactive 4 | dsmod computer -disabled yes, deshabilita todos los equipos que hayan estado inactivos durante 4 o mas semanas
dsadd user CN=Carlos;OU=Marketing;DC=ruinosa;DC=com, añade un usuario en una OU
dsadd computer CN=SALESWKSTN1;OU=Ventas;DC=ruinosa;DC=com, alta de un equipo en una OU
dsmod group CN=Marketing Users;CN=users;DC=ruinosa;DC=com -addmbr CN=Sara;OU=Marketing;DC=ruinosa;DC=com, añade usuario a un grupo
dsmod user CN=Pepe;OU=Ventas;DC=ibm;Dc=com -pwd Abcd123 -mustchpwd yes, cambia la password+politica a un usuario
dsrm -subtree -noprompt -c OU=Marketing;DC=ruinosa;DC=com, borra toda una OU

# Windows net administrar recursos usuarios grupos servicios

net user, muestra usuarios locales creados en la maquina
net user pepe, muestra info del usuario pepe Ej: Ultimo cambio de password; si la contraseña expira; ultima sesion iniciada; grupos locales a los que pertenece; directorio principal; etc
net user juan 1234 /add, alta del usuario local juan
net user juan 1234 /add /domain, alta del usuario juan en el dominio
net user fer *, con esto podemos cambiar la password del usuario
Opción-> /passwordreq:yes/no, si es obligatorio tener password para esa cuenta
Opción-> /passwordchg:yes/no, si el usuario puede cambiar la contraseña
Opción-> /expires:fecha/never, expiracion de la cuenta
Opción-> /active:yes/no, activa o desactiva la cuenta
Opción-> /times:..., momentos en los que se puede usar la computadora/hacer login
Opción-> /workstations:..., lista de equipos desde donde puede hacer login
net accounts, modifica politicas de cuentas y password
net accounts /MINPWLEN:..., longitudMinimaDeLaPassword
net accounts /MAXPWAGE:..., maximoDeDiasQueLaPasswordEsValida
net accounts /UNIQUEPW:..., numeroDePasswordUnicasCuandoSeCambia
net accounts /DOMAIN, estos comandos afectan al dominio en lugar de la maquina local
net computer \\equipo /add o /del, añade o borra una maquina al dominio
net session \\servidorNominas, listado con los usuarios y desde que maquinas están conectados al servidorNominas
net print \\equipo, muestra las colas de impresion compartidas
net print \\equipo\ShareName, muestra la cola de impresion de ese share
net print \\equipo NumeroDeJob, gestion de un job particular
net print \\equipo NumeroDeJob /hold o /release, retrasa/retiene o libera el job
net print \\equipo NumeroDeJob /delete, borra el job
net share gestion de recursos compartidos, sin parametros muestra los que hay actualmente creados
net share DataCompartido=c:\Data, comparte el directorio c:\Data con el nombre publico DataCompartido
net share DataCompartido=c:\Data /users:..., numeroMaximoUsuariosSimultaneos
net share DataCompartido=c:\Data /delete, borrar el recurso compartido
net group desarrolladores /add, añade grupo al dominio
net localgroup desarrolladores /add, añade grupo local a la maquina
net group desarrolladores pepe luis /add, añade usuarios al grupo
net view, muestra la lista de maquinas del dominio actual o con /domain el que tu especifiques
net view \\equipo /ALL, muestra todos los recursos compartidos del equipo. El $ en el nombre del recurso indica que son ocultos
net use, gestión de unidades hacia --> recursos compartidos
net use e: \\financiero\cartas, en la maquina cliente vamos a poder engancharnos contra el share creado en el servidor \\financiero
net use [LPTx:] \\ComputerName\printer_share /persistent:yes, asignar una impresora compartida en la red a un puerto
net use e: \\financiero\cartas /delete, borrar el mapeo de unidad
net use e: \\financiero\cartas /persistent:yes, para que se realice el mapeo en cada inicio de sesion
net use e: \\financiero\cartas /user:usuario password, mapeo con credenciales concretas
net config server /autodisconnect:minutos, cierra sesiones inactivas al pasar x minutos
net start/stop/pause/continue nombreDelServicio, gestión de servicios
net time /domain[:dominio] /set, sincroniza la hora del equipo con la del dominio
net time /rstdomain[:dominio] /set, idem pero contra un servidor de tiempos

# Windows netsh configuracion de red

netsh advfirewall set currentprofile state on, activar el firewall
netsh advfirewall firewall add rule name='Open Port 80' dir=in action=allow protocol=TCP localport=80, regla para abrir el puerto 80 de entrada
netsh advfirewall firewall set rule group='remote desktop' new enable=Yes, activar el servicio de RDP
netsh interface ip show config, muestra configuracion TCP/IP
netsh interface ip delete arpcache, borra la cache de ARP
netsh interface ip set address name='Local Area Connection' source=static addr=192.168.0.10 mask=255.255.255.0 gateway=192.168.0.1 gwmetric=1, configuracion IP estatica
netsh interface ip set address name='Local Area Connection' source=dhcp, configuracion IP dinamica
netsh interface ip add dnsservers 'Local Area Connection' 10.0.0.1, añadir servidor de DNS
netsh set machine servidorNominas, trabajar contra ese servidor
netsh wlan add filter permission=block ssid=”WLAN name” networktype=infrastructure, bloquea la WIFI por SSID
netsh http add iplisten address=1.1.1.1, publicar nueva IP de escucha
netsh http add sslcert ipport=1.1.1.1:443 certhash=0102030405060708090A0B0C0D0E0F1011121314 appid={00112233-4455-6677-8899-AABBCCDDEEFF}, asocia un certificado con una determinada IP+Puerto
netsh dump > copia_configuracion.txt, copia de seguridad de la configuracion
netsh exec copia_configuracion.txt, restauracion de la configuracion

# Windows robocopy copia backup de ficheros

/S, copia subcarpetas
/E, copia subcarpetas incluso VACIAS
/MIR, modo espejo copia de forma recursiva pero al terminar se eliminan los archivos en el destino que ya no existen en el origen
/MOV, mueve archivos y los elimina del origen después de ser copiados
/MOVE, mueve archivos y carpetas y los elimina del origen después de ser copiados
/L, hace una SIMULACION
/MAX:bytes o /MIN:bytes, de un determinado tamaño
/MAXAGE:dias o /MINAGE:dias, de una determinada antiguedad
/Z, modo REINICIABLE
/SEC, conservar permisos o /COPYALL
/R:..., numeroReintentos
/XF patron, excluye los archivos indicados

# Windows arp ipconfig netstat nslookup getmac route tracert variados

arp -a, muestra las entradas de la tabla
arp -d direccion_ip, elimina el host especificado o todos si se usa *
arp -s direccion_ip direccion_mac, agrega una entrada a la tabla
ipconfig /displaydns, muestra las resoluciones DNS de la cache
ipconfig /flushdns, borra la cache del DNS
ipconfig  /renew, renueva la direccion IP
ipconfig  /release, libera conexiones
netstat -a, muestra todas las conexiones y puertos de escucha
netstat -p protocolo, filtra por TCP;UDP
netstat -r, muestra el contenido de la tabla de rutas
netstat -o, muestra el PID del proceso asociado
netstat -n, muestra los puertos y las direcciones en formato numerico
nslookup -querytype=TXT -timeout=10 inap.es 8.8.8.8, consulta de los registros de tipo TXT de inap.es usando GoogleDNS
nslookup -type=TXT -timeout=10 inap.es 8.8.8.8, consulta de los registros de tipo TXT de inap.es usando GoogleDNS
Comando getmac, obtener la dirección fisica/MAC de una serie de interfaces de red
Comando route, administración de la tabla de enrutamiento
tracert / pathping, muestra la ruta que siguen los datagramas IP entre dos extremos
tracert / pathping -d, no convierte direcciones en nombres de host
tracert / pathping -h, numero maximo de saltos en la busqueda
tracert / pathping -w milisegundos, tiempo para esperar cada respuesta
tracert / pathping -6, forzar usando IPv6
ntdsutil, herramienta de administración del fichero/bbdd del AD -
mstsc, microsoft terminal server connection. Arranca el cliente de escritorio remoto
convert, convertir de fat16/32 a NTFS
powercfg, configuración de opciones de energia
tasklist / taskkill, gestión de tareas/procesos
msconfig, configuración del sistema
bcdedit, gestión del arranque de windows
runas, ejecutar un comando como otro user
msg, enviar mensaje a otro usuario
pushd/popd, push directory / pop directory. Guarda y restaura el directorio actual generalmente usados en un script
msinfo32, información del sistema
certutil.exe -addstore Root MyCert.cer, importa una CA al almacen raiz
certutil.exe -p MyPassword -importpfx MyCert.pfx, importa el pfx
certutil -user -store MY, muestra todos los certificados del almacen personal
sc create NewService binpath= c:\...\NewServ.exe type= share start= auto, crea nuevo servicio
sc query type= service/driver/... state=active/inactive, consulta estado servicio
sc /start/stop/delete nombreDelServicio, gestionar estado servicio

# Windows powershell

Add-Computer, Añade un ordenador a un dominio o grupo de trabajo.
Add-Content (alias; ac), Añade contenido a un objeto.
Clear-Item (alias; cli), Borra contenido de un objeto.
Clear-ItemProperty (alias; clp), Borra el valor de una propiedad.
Clear-Variable (alias; clv), Borra el valor de una variable.
Compare-Object (alias; compare; diff), Compara dos conjuntos de objetos.
ConvertTo-CSV, Convierte objetos a formato CSV.
ConvertTo-Html, Convierte objetos a formato HTML.
ConvertTo-XML, Convierte objetos a formato XML.
Copy-Item (alias; cpi; cp; copy), Copia un objeto de un lugar a otro.
Copy-ItemProperty (alias; cpp), Copia una propiedad y su valor de un lugar a otro.
Get-ADUser, Consulta usuarios en Active Directory.
Get-Alias (alias; gal), Muestra los aliases disponibles.
Get-AppxPackage, Muestra la lista de paquetes .appx instalados (en Windows 8/10).
Get-Command (alias; gcm), Muestra un listado de comandos instalados de todo tipo.
Get-ComputerRestorePoint, Muestra los puntos de restauración del sistema.
Get-Content (alias; gc), Muestra el contenido de un objeto.
Get-Date, Muestra la fecha y hora.
Get-Event, Muestra la cola de eventos.
Get-Help, Muestra ayuda sobre comandos.
Get-History (alias; ghy), Muestra el histórico de comandos usados en la sesión.
Get-Item (alias; gi), Selecciona un objeto.
Get-ItemProperty (alias; gp), Selecciona la propiedad de un objeto o del registro.
Get-Process (alias; gps), Selecciona procesos en ejecución en el sistema.
Get-Service (alias; gsv), Selecciona los servicios del sistema.
Set-TimeZone, Establece una Zona Horaria.
Get-ChildItem (alias; ls; dir; gci), Muestra el contenido de un directorio.
New-Item (alias; ni), Crea un nuevo objeto.
Get-Member (alias; gm), Muestra las propiedades y métodos de un objeto.
Where-Object (alias; where; $_), Filtra la salida de otro cmdlet.
Select-Object (alias; select), Selecciona propiedades específicas de un objeto.
ForEach-Object (alias; foreach), Recorre una serie de objetos y ejecuta un script para cada uno.
Get-CimInstance, Obtiene información de configuración a través de WMI.
Get-Location (alias; gl; pwd), Muestra el directorio actual.
Get-PSDrive (alias; gdr), Muestra todas las unidades; incluidas las virtuales para navegar por el registro; certificados; etc.

# Iptables

Como se llama el modulo del kernel,Netfilter
Que herramientas están encima del modulo cortafuegos del kernel, iptables; nftables; ufw: firewalld
Si tenemos una DMZ con un servicio correo que cadena hay que configurar para el trafico entrante, PREROUTING->INPUT
Si desde nuestro equipo cliente queremos controlar el trafico saliente que cadena debemos configurar, OUTPUT->POSTROUTING
Si queremos que una maquina linux haga de router que cadenas se deben configurar, PREROUTING->FORWARD->POSTROUTING. Usa dos tarjetas red
Si en una regla no se indica la variable -t(table) cual se pone por defecto, filter(solamente esta en INPUT; FORWARD; OUTPUT)
Si dentro de las cadenas hay varias reglas que pueden dar match que sucede, Solamente se aplica la primera que encuentra
Que es el campo -j y que opciones tiene, significa Jump(tratamiento trafico) ACCEPT; DROP; REDIRECT; REJECT
Diferencia entre DROP y REJECT, DROP elimina el trafico y no informa al origen; REJECT si informa al origen
Como se guardan/restauran las reglas creadas,"
- iptables-save > /etc/iptables/rules.v4(v6 para ipv6)
- systemctl enable netfilter-persistent.service
- iptables-restore < /etc/iptables/rules.v4"
Añadir una regla nueva, iptables -A INPUT -i eth0 -p tcp --dport 8888 -j ACCEPT
Como eliminar una regla, iptables -D test
Borrar toda las iptables, iptables -F / iptables --flush
Crear regla por defecto, iptables -P INPUT DROP
Listar una tabla, iptables -t nat -L
